event_id,state,income_group,total_articles,indic_articles,en_articles,indic_share,coverage_days,t_first_days,S_sov,S_TTFR,S_CD,MSS,MSS_entropy
E67,Jammu and Kashmir,Low,5223,549,4581,0.10511200459506032,29,0,0.1328,1.0,0.1522,0.3101,0.1543
E68,Jammu and Kashmir,Low,5095,856,4031,0.16800785083415112,19,0,0.1295,1.0,0.0978,0.2973,0.1345
E69,Jharkhand,Low,536,419,115,0.7817164179104478,20,0,0.0136,1.0,0.1033,0.2288,0.0598
E70,Jharkhand,Low,951,385,559,0.4048370136698212,125,0,0.0241,1.0,0.6739,0.3492,0.2508
E71,Jharkhand,Low,399,188,209,0.47117794486215536,38,0,0.0101,1.0,0.2011,0.2463,0.0891
E72,Karnataka,High,18118,5005,12563,0.27624461861132577,96,0,0.4608,1.0,0.5163,0.5797,0.4882
E73,Karnataka,High,8391,1671,6517,0.1991419377904898,94,0,0.2134,1.0,0.5054,0.4291,0.3214
E74,Karnataka,High,1805,388,1362,0.2149584487534626,43,0,0.0459,1.0,0.2283,0.2732,0.1215
E75,Karnataka,High,8178,2059,5838,0.25177304964539005,139,0,0.208,1.0,0.75,0.4748,0.3967
E76,Karnataka,High,12418,3308,8865,0.26638750201320666,92,0,0.3158,1.0,0.4946,0.4884,0.3855
E77,Kerala,Middle,12776,3454,8637,0.2703506574827802,119,0,0.3249,1.0,0.6413,0.5232,0.4388
E78,Kerala,Middle,8045,1701,5780,0.21143567433188315,94,0,0.2046,1.0,0.5054,0.4238,0.3156
E79,Kerala,Middle,1885,801,1061,0.4249336870026525,47,0,0.0479,1.0,0.25,0.2787,0.1298
E80,Kerala,Middle,3445,1013,1974,0.29404934687953554,27,0,0.0876,1.0,0.1413,0.2808,0.1209
E81,Madhya Pradesh,Low,12032,2488,9070,0.20678191489361702,86,0,0.306,1.0,0.462,0.476,0.3685
E82,Madhya Pradesh,Low,13978,4287,9440,0.3066962369437688,62,0,0.3555,1.0,0.3315,0.4796,0.3591
E83,Madhya Pradesh,Low,5242,1458,3684,0.27813811522319726,76,0,0.1333,1.0,0.4076,0.3615,0.237
E84,Madhya Pradesh,Low,2159,529,1402,0.24502084298286245,22,0,0.0549,1.0,0.1141,0.2558,0.0906
E85,Madhya Pradesh,Low,5817,2051,3698,0.3525872442839952,94,0,0.1479,1.0,0.5054,0.3898,0.2782
E86,Madhya Pradesh,Low,8173,4090,3953,0.5004282393246055,185,0,0.2078,1.0,1.0,0.5247,0.4772
E87,Madhya Pradesh,Low,3638,1179,2422,0.3240791643760308,27,0,0.0925,1.0,0.1413,0.2838,0.1241
E88,Madhya Pradesh,Low,1098,523,559,0.4763205828779599,20,0,0.0279,1.0,0.1033,0.2374,0.0693
E89,Maharashtra,High,5544,947,4382,0.1708152958152958,19,0,0.141,1.0,0.0978,0.3042,0.1421
E90,Maharashtra,High,11258,2910,7641,0.2584828566352816,20,0,0.2863,1.0,0.1033,0.3924,0.2398
E91,Maharashtra,High,7701,1320,4773,0.17140631086871835,17,0,0.1958,1.0,0.087,0.3349,0.1748
E92,Maharashtra,High,11788,3024,8066,0.25653206650831356,29,0,0.2998,1.0,0.1522,0.4103,0.2645
E93,Maharashtra,High,8424,2627,5292,0.3118471035137702,31,0,0.2142,1.0,0.163,0.3611,0.2115
E94,Maharashtra,High,39317,13922,22625,0.3540961924867106,112,0,1.0,1.0,0.6033,0.9207,0.872
E95,Maharashtra,High,19382,3874,14230,0.19987617376947683,94,0,0.4929,1.0,0.5054,0.5968,0.5058
E96,Maharashtra,High,4766,1339,2958,0.2809483843894251,47,0,0.1212,1.0,0.25,0.3227,0.1782
E97,Maharashtra,High,20891,6630,13075,0.31736154324828875,92,0,0.5313,1.0,0.4946,0.6177,0.5277
E98,Maharashtra,High,2766,1020,1540,0.368763557483731,19,0,0.0703,1.0,0.0978,0.2617,0.0955
E99,Manipur,Low,2264,219,1716,0.09673144876325088,53,0,0.0575,1.0,0.2826,0.291,0.1466
