event_id,state,district,canonical_state,start_date,bbox_area_km2,state_area_km2,district_km2,raw_flood_area_km2,adjusted_flood_area_km2,flood_ratio,combined_source,region_total_population,population_exposed,exposure_rate,warnings
E57,Haryana,Hisar,Haryana,2018-09-23,,44212,4174.8,1579.01,1579.01,0.3782,SITS,31057000,1109186.0,0.3782,
E58,Haryana,Hisar,Haryana,2023-06-26,,44212,4174.8,706.97,706.97,0.1693,SITS,31057000,496616.0,0.1693,
E59,Himachal Pradesh,Kullu,Himachal Pradesh,2015-07-07,,55673,5506.0,0.71,0.71,0.0001,S1(cloud),7555000,96.0,0.0001,
E60,Himachal Pradesh,Kullu,Himachal Pradesh,2017-08-16,,55673,5506.0,0.83,0.83,0.0002,S1(cloud),7555000,113.0,0.0002,
E61,Himachal Pradesh,Kullu,Himachal Pradesh,2018-08-07,,55673,5506.0,10.61,10.61,0.0019,S1(cloud),7555000,1440.0,0.0019,
E62,Himachal Pradesh,Kullu,Himachal Pradesh,2019-07-14,,55673,5506.0,2.38,2.38,0.0004,NDWI,7555000,323.0,0.0004,
E63,Himachal Pradesh,Kullu,Himachal Pradesh,2021-06-01,,55673,5506.0,2.03,2.03,0.0004,NDWI,7555000,275.0,0.0004,
E64,Himachal Pradesh,Kullu,Himachal Pradesh,2022-05-17,,55673,5506.0,1.19,1.19,0.0002,NDWI,7555000,161.0,0.0002,
E65,Himachal Pradesh,Kullu,Himachal Pradesh,2024-07-31,,55673,5506.0,73.73,73.73,0.0134,SITS,7555000,10005.0,0.0134,
E66,Himachal Pradesh,Kullu,Himachal Pradesh,2025-06-20,,55673,5506.0,4.04,4.04,0.0007,NDWI,7555000,548.0,0.0007,
E67,Jammu and Kashmir,72811,Jammu and Kashmir,2015-03-20,,42241,45603.1,38.5,38.5,0.0008,S1(cloud),13831000,12606.0,0.0008,
E68,Jammu and Kashmir,Kishtwar,Jammu and Kashmir,2025-08-14,,42241,45603.1,3112.96,3112.96,0.0683,SITS,13831000,1019279.0,0.0683,
E69,Jharkhand,Ramgarh,Jharkhand,2017-06-04,,79716,6175.1,4627.25,4627.25,0.7493,SITS,40626000,2358205.0,0.7493,
E70,Jharkhand,Ramgarh,Jharkhand,2021-06-01,,79716,6175.1,24.03,24.03,0.0039,NDWI,40626000,12247.0,0.0039,
E71,Jharkhand,Ramgarh,Jharkhand,2022-08-01,,79716,6175.1,148.28,148.28,0.024,SITS,40626000,75569.0,0.024,
E72,Karnataka,Vijayanagara,Karnataka,2019-07-14,,191791,8455.4,8.3,8.3,0.001,NDWI,68679000,2972.0,0.001,
E73,Karnataka,Vijayanagara,Karnataka,2020-06-01,,191791,8455.4,9.13,9.13,0.0011,NDWI,68679000,3269.0,0.0011,
E74,Karnataka,Vijayanagara,Karnataka,2020-10-01,,191791,8455.4,2448.18,2448.18,0.2895,SITS,68679000,876676.0,0.2895,
E75,Karnataka,Vijayanagara,Karnataka,2021-06-01,,191791,8455.4,19.72,19.72,0.0023,NDWI,68679000,7062.0,0.0023,
E76,Karnataka,Vijayanagara,Karnataka,2023-06-25,,191791,8455.4,0.61,0.61,0.0001,NDWI,68679000,218.0,0.0001,
E77,Kerala,Thrissur,Kerala,2019-07-14,,38852,2961.8,19.7,19.7,0.0067,S1(cloud),36111000,18310.0,0.0067,
E78,Kerala,Thrissur,Kerala,2020-06-01,,38852,2961.8,316.21,316.21,0.1068,SITS,36111000,293901.0,0.1068,
E79,Kerala,Thrissur,Kerala,2021-06-01,,38852,2961.8,290.82,290.82,0.0982,SITS,36111000,270303.0,0.0982,
E80,Kerala,Thrissur,Kerala,2021-10-11,,38852,2961.8,680.35,680.35,0.2297,SITS,36111000,632351.0,0.2297,
E81,Madhya Pradesh,Sagar,Madhya Pradesh,2015-06-23,,308252,10275.8,,,,none,88985000,,,NO COMBINED FLOOD: source=none
E82,Madhya Pradesh,Sagar,Madhya Pradesh,2016-07-09,,308252,10275.8,,,,none,88985000,,,NO COMBINED FLOOD: source=none
E83,Madhya Pradesh,Sagar,Madhya Pradesh,2017-06-25,,308252,10275.8,15.09,15.09,0.0015,S1(cloud),88985000,4356.0,0.0015,
E84,Madhya Pradesh,Sagar,Madhya Pradesh,2018-08-02,,308252,10275.8,6.33,6.33,0.0006,S1(cloud),88985000,1827.0,0.0006,
E85,Madhya Pradesh,Sagar,Madhya Pradesh,2020-06-01,,308252,10275.8,7428.51,7428.51,0.7229,SITS,88985000,2144434.0,0.7229,
E86,Madhya Pradesh,Sagar,Madhya Pradesh,2022-05-17,,308252,10275.8,6955.42,6955.42,0.6769,SITS,88985000,2007864.0,0.6769,
E87,Madhya Pradesh,Sagar,Madhya Pradesh,2023-06-14,,308252,10275.8,6183.32,6183.32,0.6017,SITS,88985000,1784977.0,0.6017,
E88,Madhya Pradesh,Sagar,Madhya Pradesh,2025-09-15,,308252,10275.8,502.58,502.58,0.0489,SITS,88985000,145083.0,0.0489,
E89,Maharashtra,Parbhani,Maharashtra,2015-06-19,,307713,6347.3,,,,none,128659000,,,NO COMBINED FLOOD: source=none
E90,Maharashtra,Parbhani,Maharashtra,2016-08-01,,307713,6347.3,,,,none,128659000,,,NO COMBINED FLOOD: source=none
E91,Maharashtra,Parbhani,Maharashtra,2017-08-29,,307713,6347.3,5.76,5.76,0.0009,S1(cloud),128659000,2408.0,0.0009,
E92,Maharashtra,Parbhani,Maharashtra,2018-06-22,,307713,6347.3,6.33,6.33,0.001,S1(cloud),128659000,2647.0,0.001,
E93,Maharashtra,Parbhani,Maharashtra,2018-08-07,,307713,6347.3,,,,none,128659000,,,NO COMBINED FLOOD: source=none
E94,Maharashtra,Parbhani,Maharashtra,2019-06-28,,307713,6347.3,4.76,4.76,0.0007,S1(cloud),128659000,1990.0,0.0007,
E95,Maharashtra,Parbhani,Maharashtra,2020-06-01,,307713,6347.3,2639.46,2639.46,0.4158,SITS,128659000,1103594.0,0.4158,
E96,Maharashtra,Parbhani,Maharashtra,2021-06-01,,307713,6347.3,653.72,653.72,0.103,SITS,128659000,273329.0,0.103,
E97,Maharashtra,Parbhani,Maharashtra,2023-06-25,,307713,6347.3,19.02,19.02,0.003,S1(cloud),128659000,7953.0,0.003,
E98,Maharashtra,Parbhani,Maharashtra,2024-08-26,,307713,6347.3,0.23,0.23,0.0,NDWI,128659000,96.0,0.0,
E99,Manipur,Imphal West,Manipur,2015-07-15,,22327,489.0,,,,none,3289000,,,NO COMBINED FLOOD: source=none
